Date,Close
4/1/2021,0.061986
4/2/2021,0.057664
4/3/2021,0.055804
4/4/2021,0.057404
4/5/2021,0.059696
4/6/2021,0.064458
4/7/2021,0.059028
4/8/2021,0.061464
4/9/2021,0.061684
4/10/2021,0.063845
4/11/2021,0.074649
4/12/2021,0.070767
4/13/2021,0.093445
4/14/2021,0.121517
4/15/2021,0.182207
4/16/2021,0.36587
4/17/2021,0.284173
4/18/2021,0.320475
4/19/2021,0.407318
4/20/2021,0.3195
4/21/2021,0.306925
4/22/2021,0.260967
4/23/2021,0.248509
4/24/2021,0.270212
4/25/2021,0.251111
4/26/2021,0.270674
4/27/2021,0.272188
4/28/2021,0.323682
4/29/2021,0.305169
4/30/2021,0.337561
5/1/2021,0.392987
5/2/2021,0.376046
5/3/2021,0.441707
5/4/2021,0.541334
5/5/2021,0.657633
5/6/2021,0.580804
5/7/2021,0.684777
5/8/2021,0.636439
5/9/2021,0.57007
5/10/2021,0.449964
5/11/2021,0.495231
5/12/2021,0.385376
5/13/2021,0.490374
5/14/2021,0.559604
5/15/2021,0.507972
5/16/2021,0.514895
5/17/2021,0.487892
5/18/2021,0.476115
5/19/2021,0.333123
5/20/2021,0.400194
5/21/2021,0.359382
5/22/2021,0.342371
5/23/2021,0.308071
5/24/2021,0.366162
5/25/2021,0.346302
5/26/2021,0.353693
5/27/2021,0.332945
5/28/2021,0.311205
5/29/2021,0.30311
5/30/2021,0.302224
5/31/2021,0.32581
6/1/2021,0.370077
6/2/2021,0.423374
6/3/2021,0.399963
6/4/2021,0.376323
6/5/2021,0.372177
6/6/2021,0.371807
6/7/2021,0.33105
6/8/2021,0.327687
6/9/2021,0.343331
6/10/2021,0.326351
6/11/2021,0.319359
6/12/2021,0.312084
6/13/2021,0.324382
6/14/2021,0.332085
6/15/2021,0.328381
6/16/2021,0.307761
6/17/2021,0.306496
6/18/2021,0.293472
6/19/2021,0.287356
6/20/2021,0.2809
6/21/2021,0.178691
6/22/2021,0.191031
6/23/2021,0.232174
6/24/2021,0.262782
6/25/2021,0.239153
6/26/2021,0.244784
6/27/2021,0.26445
6/28/2021,0.256857
6/29/2021,0.262769
6/30/2021,0.254215
7/1/2021,0.244549
7/2/2021,0.245264
7/3/2021,0.246411
7/4/2021,0.246483
7/5/2021,0.231614
7/6/2021,0.234422
7/7/2021,0.224126
7/8/2021,0.207597
7/9/2021,0.219864
7/10/2021,0.21392
7/11/2021,0.215856
7/12/2021,0.208048
7/13/2021,0.200003
7/14/2021,0.197324
7/15/2021,0.184888
7/16/2021,0.172345
7/17/2021,0.186125
7/18/2021,0.182233
7/19/2021,0.173556
7/20/2021,0.170801
7/21/2021,0.190349
7/22/2021,0.191303
7/23/2021,0.194764
7/24/2021,0.197319
7/25/2021,0.197864
7/26/2021,0.204419
7/27/2021,0.205899
7/28/2021,0.205392
7/29/2021,0.204619
7/30/2021,0.208821
7/31/2021,0.208314
8/1/2021,0.204437
8/2/2021,0.2036
8/3/2021,0.195967
8/4/2021,0.20149
8/5/2021,0.200974
8/6/2021,0.204688
8/7/2021,0.260341
8/8/2021,0.240045
8/9/2021,0.256897
8/10/2021,0.257325
8/11/2021,0.265263
8/12/2021,0.263921
8/13/2021,0.286808
8/14/2021,0.293113
8/15/2021,0.341441
8/16/2021,0.320715
8/17/2021,0.299442
8/18/2021,0.303739
8/19/2021,0.317144
8/20/2021,0.327491
8/21/2021,0.316797
8/22/2021,0.314963
8/23/2021,0.317914
8/24/2021,0.288739
8/25/2021,0.292226
8/26/2021,0.268909
8/27/2021,0.294433
8/28/2021,0.285629
8/29/2021,0.281125
8/30/2021,0.272125
8/31/2021,0.278453
9/1/2021,0.294401
9/2/2021,0.295955
9/3/2021,0.296273
9/4/2021,0.299388
9/5/2021,0.314527
9/6/2021,0.308765
9/7/2021,0.253744
9/8/2021,0.257113
9/9/2021,0.252596
9/10/2021,0.239982
9/11/2021,0.241432
9/12/2021,0.250617
9/13/2021,0.235906
9/14/2021,0.240709
9/15/2021,0.247697
9/16/2021,0.242555
9/17/2021,0.23993
9/18/2021,0.241386
9/19/2021,0.233142
9/20/2021,0.207071
9/21/2021,0.201027
9/22/2021,0.224858
9/23/2021,0.224832
9/24/2021,0.209451
9/25/2021,0.20864
9/26/2021,0.204962
9/27/2021,0.200262
9/28/2021,0.196804
9/29/2021,0.198876
9/30/2021,0.204244
10/1/2021,0.22301
10/2/2021,0.219133
10/3/2021,0.221748
10/4/2021,0.240852
10/5/2021,0.252016
10/6/2021,0.255134
10/7/2021,0.242923
10/8/2021,0.243851
10/9/2021,0.246596
10/10/2021,0.229805
10/11/2021,0.231503
10/12/2021,0.226242
10/13/2021,0.232572
10/14/2021,0.232273
10/15/2021,0.233782
10/16/2021,0.237292
10/17/2021,0.237898
10/18/2021,0.247281
10/19/2021,0.245788
10/20/2021,0.254093
10/21/2021,0.242391
10/22/2021,0.244221
10/23/2021,0.251733
10/24/2021,0.277048
10/25/2021,0.264707
10/26/2021,0.255732
10/27/2021,0.23769
10/28/2021,0.300447
10/29/2021,0.287853
10/30/2021,0.268345
10/31/2021,0.280244
11/1/2021,0.271728
11/2/2021,0.273121
11/3/2021,0.269407
11/4/2021,0.26328
11/5/2021,0.261465
11/6/2021,0.261898
11/7/2021,0.266315
11/8/2021,0.282359
11/9/2021,0.273526
11/10/2021,0.255709
11/11/2021,0.261167
11/12/2021,0.259414
11/13/2021,0.261706
11/14/2021,0.262912
11/15/2021,0.256529
11/16/2021,0.237249
11/17/2021,0.237487
11/18/2021,0.221383
11/19/2021,0.23311
11/20/2021,0.233024
11/21/2021,0.226328
11/22/2021,0.219676
11/23/2021,0.226512
11/24/2021,0.221825
11/25/2021,0.216326
11/26/2021,0.200887
11/27/2021,0.205347
11/28/2021,0.207472
11/29/2021,0.215175
11/30/2021,0.214715
